[20:23:30] -- REVIEW --
[20:23:30]   [검토 1/3]
[20:31:48]   확인함: app/vending_machine.py 전체(상태 컨테이너 · guard 26개 · action 45개 · TRANSITIONS 표 전이 76개)를 읽고 각 전이의 action 이 실제로 무엇을 바꾸는지 대조했다
[20:31:48]   확인함: REQ-01~REQ-116 을 UC-01~UC-18 의 requirements 목록과 대조 — 어느 유스케이스에도 걸리지 않은 요구사항은 없었다
[20:31:48]   확인함: 동전 보유량이 실제로 줄어드는지 확인 — accept_coin/payout/apply_collect/dispense_to_admin 이 모두 coins 를 증감하고, 거스름돈·반환 지급마다 차감된다(REQ-20/21 은 구현·검증됨)
[20:31:48]   확인함: tests/test_fsm.py 의 전이별 테스트 76개와 tests/e2e/test_scenarios.py 의 UC 시나리오 33개 · 불변식 3종(Ledger 회계식/물리식/재고식) · 전이 쌍 커버리지 2종을 읽었다
[20:31:48]   확인함: 제약 요구사항의 검증 수단 확인 — REQ-114/115(외부 통신 금지)는 test_uc18_no_network_access_during_operation 이 socket 을 monkeypatch 로 막아 검증, REQ-99(외부 재고 입력 없음)는 T-004/T-005 guard 가 저장 파일만 읽는 것으로 검증, REQ-116(동시 1인)은 단일 FSM 구조로 자연 충족
[20:31:48]   확인함: 같은 (상태, 이벤트)에 여러 갈래가 있는 곳(SELECT_DRINK 4갈래, COLLECT_COINS_COMMAND 4갈래, DISPENSE_COMPLETE 4갈래, COLLECT_UNRETURNED_BALANCE 3갈래, ADJUST_STOCK/REFILL/ADMIN_EXIT 2갈래)의 guard 배타성과 전체 덮음을 손으로 검산했다 — 이 갈래들 안에서는 빠지는 입력이 없었다
[20:31:48]   확인함: 거스름돈 탐욕 구성(coins_used)이 100/500/1000 배수 관계에서 최적임을 확인했고, 반환 경로(T-024/T-027/T-029/T-047/T-063)의 payout 이 항상 구성 가능한지 추적했다
[20:31:48] 검토: 8건 (high 3 / medium 3 / low 2)
[20:31:48]   [high] 배출 실패 시 음료 가격이 고객에게 돌아가지 않고 기기가 삼킨다 -> SWF-293
[20:31:48]   [high] fsync 가 한 줄도 없다 — 저장 내구성 요구사항이 구현도 검증도 되지 않았다 -> SWF-294
[20:31:49]   [high] 판매 중지 상태에 남은 누적 투입 금액은 고객이 어떤 방법으로도 되찾을 수 없다 -> SWF-295
[20:31:49]   [medium] 고장이 해제된 뒤 도착한 배출 완료 신호는 지연 배출로 기록되지 않고 조용히 버려진다 -> SWF-296
[20:31:49]   [medium] 미반환 보관액을 회수해도 값이 줄지 않아 같은 금액을 몇 번이고 다시 회수할 수 있다 -> SWF-297
[20:31:49]   [medium] REQ-97 의 미반환 보관액 계산식이 구현에서 다른 식으로 조용히 바뀌었고 테스트가 그 값을 베꼈다 -> SWF-298
[20:31:50]   [low] 버튼 입력에서 배출 개시까지 2초 제한(REQ-85)은 코드에도 테스트에도 없다 -> SWF-299
[20:31:50]   [low] 고장이 해제되지 않은 관리 모드에서는 보충·회수·재고 조정·보관액 조회를 전혀 할 수 없다 -> SWF-300
[20:31:50]   > SWF-294 [검토/high] fsync 가 한 줄도 없다 — 저장 내구성 요구사항이 구현도 검증도 되지 않았다
[20:36:49]     [FAIL] 테스트 실패 (시도 1/3)
[20:46:48]     [FAIL] 테스트 실패 (시도 2/3)
